symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg
0,90.09,toyota,gas,std,four,hatchback,fwd,front,95.7,164.637,63.75600000000001,52.272,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37
0,84.15,subaru,gas,turbo,four,wagon,4wd,front,96.9,171.864,64.74600000000001,54.351,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,23
1,126.72,nissan,gas,std,two,hatchback,fwd,front,94.5,163.944,63.162,52.766999999999996,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
0,77.22,honda,gas,std,four,wagon,fwd,front,96.5,155.529,63.260999999999996,57.717,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34
-1,73.26,volvo,gas,std,four,wagon,rwd,front,104.3,186.912,66.528,56.925,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28
1,116.82,dodge,gas,std,two,hatchback,fwd,front,93.7,155.727,63.162,50.291999999999994,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
0,84.15,honda,gas,std,four,sedan,fwd,front,96.5,173.64600000000002,61.875,53.559,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33
0,113.85,mazda,gas,std,four,hatchback,fwd,front,98.8,176.02200000000002,65.835,54.945,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32
1,73.26,toyota,gas,std,four,hatchback,fwd,front,95.7,157.113,62.964,53.955,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38
2,102.96,saab,gas,std,four,sedan,fwd,front,99.1,184.73399999999998,65.835,55.539,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28
-1,94.05,volvo,diesel,turbo,four,sedan,rwd,front,109.1,186.912,68.211,54.945,3217,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,26,27
-1,94.05,volvo,gas,std,four,sedan,rwd,front,109.1,186.912,68.211,54.945,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,18,23
-1,64.35,toyota,gas,std,four,sedan,fwd,front,102.4,173.844,65.835,54.351,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32
3,,porsche,gas,std,two,hardtop,rwd,rear,89.5,167.211,64.35,51.084,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25
0,186.12,bmw,gas,std,two,sedan,rwd,front,101.2,175.032,64.152,53.757,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28
0,159.39,peugot,gas,std,four,sedan,rwd,front,107.9,184.833,67.71600000000001,56.133,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24
0,100.98,subaru,gas,std,four,sedan,fwd,front,97.2,170.28,64.74600000000001,51.975,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,28,33
0,90.09,toyota,diesel,std,four,sedan,fwd,front,95.7,164.637,63.75600000000001,52.47,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,34,36
3,148.5,saab,gas,turbo,two,hatchback,fwd,front,99.1,184.73399999999998,65.835,55.539,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26
1,152.46,plymouth,gas,std,four,sedan,fwd,front,93.7,165.627,63.162,50.291999999999994,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
3,,porsche,gas,std,two,convertible,rwd,rear,89.5,167.211,64.35,51.084,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25
0,113.85,mazda,gas,std,four,sedan,fwd,front,98.8,176.02200000000002,65.835,54.945,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32
1,99.99,honda,gas,std,two,hatchback,fwd,front,93.7,148.5,63.36,52.074,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34
0,113.85,mazda,gas,std,four,sedan,fwd,front,98.8,176.02200000000002,65.835,54.945,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32
-1,64.35,toyota,gas,std,four,hatchback,fwd,front,102.4,173.844,65.835,53.361,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32
0,90.09,toyota,diesel,std,four,hatchback,fwd,front,95.7,164.637,63.75600000000001,52.272,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,38,47
2,132.66,toyota,gas,std,two,hatchback,rwd,front,98.4,174.438,64.94399999999999,51.48,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30
-1,73.26,volvo,gas,turbo,four,wagon,rwd,front,104.3,186.912,66.528,56.925,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22
0,,mazda,diesel,std,,sedan,fwd,front,98.8,176.02200000000002,65.835,54.945,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42
2,120.78,volkswagen,gas,std,two,sedan,fwd,front,97.3,169.98299999999998,64.845,55.143,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34
2,,audi,gas,std,two,sedan,fwd,front,99.8,175.52700000000002,65.637,52.569,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25
1,146.52,dodge,gas,turbo,,sedan,fwd,front,93.7,155.727,63.162,50.094,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30
1,166.32,toyota,gas,std,two,sedan,rwd,front,94.5,167.01299999999998,63.36,52.074,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34
1,117.81,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,155.727,63.162,50.291999999999994,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30
-1,94.05,volvo,gas,turbo,four,sedan,rwd,front,109.1,186.912,68.112,54.945,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25
-1,64.35,toyota,gas,std,four,hatchback,fwd,front,102.4,173.844,65.835,53.361,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32
0,90.09,toyota,gas,std,four,sedan,fwd,front,95.7,164.637,63.75600000000001,52.272,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34
1,86.13,toyota,gas,std,two,hatchback,fwd,front,95.7,157.113,62.964,53.955,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38
1,116.82,dodge,gas,std,two,hatchback,fwd,front,93.7,155.727,63.162,50.291999999999994,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41
